Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment
1055716,Brasil Movel,0,4,0.99,30,6
1055717,Brasil Movel,0,4,0.99,30,6
1055718,Brasil Movel,0,4,0.99,30,6
1055719,Brasil Movel,0,4,0.99,30,6
1055726,Brasil Movel,0,4,0.99,30,6
1055727,Brasil Movel,0,4,0.99,30,6
1055728,Brasil Movel,0,4,0.99,30,6
1055729,Brasil Movel,0,4,0.99,30,6
1055736,Brasil Movel,0,4,0.99,30,6
1055737,Brasil Movel,0,4,0.99,30,6
1055738,Brasil Movel,0,4,0.99,30,6
1055739,Brasil Movel,0,4,0.99,30,6
1055746,Brasil Movel,0,4,0.99,30,6
1055747,Brasil Movel,0,4,0.99,30,6
1055748,Brasil Movel,0,4,0.99,30,6
1055749,Brasil Movel,0,4,0.99,30,6
1055756,Brasil Movel,0,4,0.99,30,6
1055757,Brasil Movel,0,4,0.99,30,6
1055758,Brasil Movel,0,4,0.99,30,6
1055759,Brasil Movel,0,4,0.99,30,6
1055766,Brasil Movel,0,4,0.99,30,6
1055767,Brasil Movel,0,4,0.99,30,6
1055768,Brasil Movel,0,4,0.99,30,6
1055769,Brasil Movel,0,4,0.99,30,6
1055776,Brasil Movel,0,4,0.99,30,6
1055777,Brasil Movel,0,4,0.99,30,6
1055778,Brasil Movel,0,4,0.99,30,6
1055779,Brasil Movel,0,4,0.99,30,6
1055786,Brasil Movel,0,4,0.99,30,6
1055787,Brasil Movel,0,4,0.99,30,6
1055788,Brasil Movel,0,4,0.99,30,6
1055789,Brasil Movel,0,4,0.99,30,6
1055796,Brasil Movel,0,4,0.99,30,6
1055797,Brasil Movel,0,4,0.99,30,6
1055798,Brasil Movel,0,4,0.99,30,6
1055799,Brasil Movel,0,4,0.99,30,6
1055806,Brasil Movel,0,4,0.99,30,6
1055807,Brasil Movel,0,4,0.99,30,6
1055808,Brasil Movel,0,4,0.99,30,6
1055809,Brasil Movel,0,4,0.99,30,6
1055816,Brasil Movel,0,4,0.99,30,6
1055817,Brasil Movel,0,4,0.99,30,6
1055818,Brasil Movel,0,4,0.99,30,6
1055819,Brasil Movel,0,4,0.99,30,6
1055826,Brasil Movel,0,4,0.99,30,6
1055827,Brasil Movel,0,4,0.99,30,6
1055828,Brasil Movel,0,4,0.99,30,6
1055829,Brasil Movel,0,4,0.99,30,6
1055836,Brasil Movel,0,4,0.99,30,6
1055837,Brasil Movel,0,4,0.99,30,6
1055838,Brasil Movel,0,4,0.99,30,6
1055839,Brasil Movel,0,4,0.99,30,6
1055846,Brasil Movel,0,4,0.99,30,6
1055847,Brasil Movel,0,4,0.99,30,6
1055848,Brasil Movel,0,4,0.99,30,6
1055849,Brasil Movel,0,4,0.99,30,6
