Code,Destination,Connect Cost(BRL),Included Seconds,Per Minute Cost(BRL),Initial Increment,Increment,Rate Group,Status,Created Date
55416,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55417,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55418,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55419,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55426,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55427,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55428,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55429,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55436,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55437,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55438,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55439,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55446,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55447,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55448,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55449,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55456,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55457,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55458,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55459,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55466,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55467,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55468,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55469,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55476,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55477,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55478,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55479,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55486,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55487,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55488,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55489,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55496,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55497,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55498,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55499,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55506,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55507,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55508,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55509,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55516,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55517,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55518,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55519,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55526,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55527,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55528,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55529,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55536,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
