Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment
55753182,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753422,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55153274,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55153374,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55153374,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55153274,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55513853,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55353446,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55242220,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55242258,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55673275,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873802,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55843277,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55983337,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55883601,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55883640,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55833348,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55673260,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55673260,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55733293,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55733293,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55793266,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55653305,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55993622,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55813459,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55633557,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55963521,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553858,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553863,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55963522,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55543843,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55823553,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55683238,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55963523,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55663448,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55463267,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55633605,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55973482,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55463521,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55663449,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773698,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55993542,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55993563,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55433597,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55833395,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553546,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553546,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753414,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773445,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55283552,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873797,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55282123,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55283552,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553961,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553426,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553422,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553421,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553505,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553055,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553426,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553422,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553330,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
