Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Priority,Strip,Prepend
55613613,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613617,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613619,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55483245,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55473359,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333765,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55553265,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55553265,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55142151,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55143262,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55143261,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413624,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413624,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413174,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55833499,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55633454,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55633906,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55633550,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55633454,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55793276,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55163248,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55163258,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55623447,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333267,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55733547,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55283556,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55323537,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883502,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883524,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
