Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Precedence,Strip,Prepend
55893493,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55533246,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55273278,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883503,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883565,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55983352,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55653353,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55683235,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55643645,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55643646,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55643645,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55843331,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55713667,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333298,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773487,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753255,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883425,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55863281,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773496,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753201,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55793635,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55183521,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55182106,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55183559,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55183579,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55183502,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
